CandidateID,FirstName ,LastName ,DateOfBirth ,Gender ,Email,Phone ,ExperienceYears ,EducationLevel,CV ,EligibleToWork,Ethnicity ,Disability ,EmployeeID,LinkedInLink
C332K,Joshua,Hoffman,1989-04-02,Female,joshua.hoffman@gmail.com,18956525483,4,Associate,https://cvstorage.com/joshua_hoffman.pdf,Yes,Hispanic,No
OPIZP,Terry,Orozco,1975-04-03,Female,terry.orozco@gmail.com,15285865906,13,High School,https://cvstorage.com/terry_orozco.pdf,No,Mixed,Yes,,https://linkedin.com/in/terryorozco
P62KM,Roberto,Brown,1990-07-18,Non-binary,roberto.brown@gmail.com,14398137038,29,Bachelor,https://cvstorage.com/roberto_brown.pdf,Yes,Other,Yes,1045,https://linkedin.com/in/robertobrown
E5Q6O,James,Rhodes,1991-11-06,Male,james.rhodes@gmail.com,12807820390,23,Associate,https://cvstorage.com/james_rhodes.pdf,No,Mixed,No,,https://linkedin.com/in/jamesrhodes
98A2R,Mark,Warner,1989-04-08,Female,mark.warner@gmail.com,12926257651,9,Master,https://cvstorage.com/mark_warner.pdf,Yes,Hispanic,No,1010,https://linkedin.com/in/markwarner
CG68C,Rebekah,Fisher,1986-04-30,Male,rebekah.fisher@gmail.com,17086159003,16,Associate,https://cvstorage.com/rebekah_fisher.pdf,Yes,Other,Yes,1015,https://linkedin.com/in/rebekahfisher
3SEVR,Shannon,Escobar,1984-12-06,Female,shannon.escobar@gmail.com,13506577368,2,PhD,https://cvstorage.com/shannon_escobar.pdf,No,Mixed,Yes,,https://linkedin.com/in/shannonescobar
CK25R,Shane,Larsen,1961-05-09,Male,shane.larsen@gmail.com,18677749030,13,Associate,https://cvstorage.com/shane_larsen.pdf,Yes,Hispanic,No,1010,https://linkedin.com/in/shanelarsen
0Q1UE,Gregory,Pham,1995-02-10,Female,gregory.pham@gmail.com,19410053207,1,Bachelor,https://cvstorage.com/gregory_pham.pdf,No,Indigenous,Yes,1049,https://linkedin.com/in/gregorypham
WR0L3,Kevin,Alexander,2001-04-11,Female,kevin.alexander@gmail.com,13489742609,12,PhD,https://cvstorage.com/kevin_alexander.pdf,No,African American,No,1049,https://linkedin.com/in/kevinalexander
BE2ZQ,Monique,Gregory,2005-06-12,Female,monique.gregory@gmail.com,16956259665,0,Bachelor,https://cvstorage.com/monique_gregory.pdf,Yes,Other,Yes,,https://linkedin.com/in/moniquegregory
56PBT,Ashley,Bentley,1975-08-13,Female,ashley.bentley@gmail.com,16611882635,9,Associate,https://cvstorage.com/ashley_bentley.pdf,No,Mixed,Yes,,https://linkedin.com/in/ashleybentley
XHZ75,Lauren,Henderson,1988-08-14,Female,lauren.henderson@gmail.com,16332438064,19,High School,https://cvstorage.com/lauren_henderson.pdf,Yes,Other,Yes,1019,https://linkedin.com/in/laurenhenderson
YQ3D6,Michael,Elliott,1997-05-18,Non-binary,michael.elliott@gmail.com,16558740612,20,Bachelor,https://cvstorage.com/michael_elliott.pdf,No,Other,No,,https://linkedin.com/in/michaelelliott
JY22M,Jennifer,Ortega,1997-09-05,Female,jennifer.ortega@gmail.com,19019076536,20,Bachelor,https://cvstorage.com/jennifer_ortega.pdf,Yes,Other,No,1020,https://linkedin.com/in/jenniferortega
QMIN0,Melanie,Strickland,2002-01-17,Non-binary,melanie.strickland@gmail.com,14924585077,1,PhD,https://cvstorage.com/melanie_strickland.pdf,No,Hispanic,No,,https://linkedin.com/in/melaniestrickland
EL0VC,Megan,Berg,1991-10-18,Non-binary,megan.berg@gmail.com,12716603155,16,High School,https://cvstorage.com/megan_berg.pdf,Yes,Indigenous,Yes,1008,https://linkedin.com/in/meganberg
EEPHK,Jason,Graham,2000-11-19,Male,jason.graham@gmail.com,16941598467,24,High School,https://cvstorage.com/jason_graham.pdf,Yes,Hispanic,No,,https://linkedin.com/in/jasongraham
3ZSW4,Robert,Ramos,2003-09-20,Female,robert.ramos@gmail.com,12436731805,29,PhD,https://cvstorage.com/robert_ramos.pdf,No,Other,Yes,1011,https://linkedin.com/in/robertramos
ETH7G,Meghan,Lawson,1985-04-11,Female,meghan.lawson@gmail.com,14883141825,29,Bachelor,https://cvstorage.com/meghan_lawson.pdf,Yes,Asian,Yes,,https://linkedin.com/in/meghanlawson
ZR5V0,Jill,Scott,1998-08-22,Male,jill.scott@gmail.com,12155748769,2,Associate,https://cvstorage.com/jill_scott.pdf,No,Mixed,No,,https://linkedin.com/in/jillscott
JWX6B,Daniel,Bolton,2000-09-25,Male,daniel.bolton@gmail.com,17985702582,22,PhD,https://cvstorage.com/daniel_bolton.pdf,No,African American,No,,https://linkedin.com/in/danielbolton
1W4OT,Denise,Morris,2003-04-30,Non-binary,denise.morris@gmail.com,16382749677,19,PhD,https://cvstorage.com/denise_morris.pdf,Yes,Mixed,Yes,,https://linkedin.com/in/denisemorris
LINWA,Emily,Tran,1975-06-25,Male,emily.tran@gmail.com,17662898783,23,Associate,https://cvstorage.com/emily_tran.pdf,No,Other,No,,https://linkedin.com/in/emilytran
12S76,Gerald,Macias,1976-05-26,Female,gerald.macias@gmail.com,18383926493,27,Master,https://cvstorage.com/gerald_macias.pdf,Yes,Other,Yes,1013,https://linkedin.com/in/geraldmacias
BIL2P,Ethan,Massey,1979-08-12,Non-binary,ethan.massey@gmail.com,15021302503,30,Master,https://cvstorage.com/ethan_massey.pdf,No,African American,No,,https://linkedin.com/in/ethanmassey
ITJHA,Kimberly,Andrews,1989-04-28,Non-binary,kimberly.andrews@gmail.com,12576417975,21,PhD,https://cvstorage.com/kimberly_andrews.pdf,Yes,Mixed,No,,https://linkedin.com/in/kimberlyandrews
P36GT,Cody,Peterson,2000-11-29,Male,cody.peterson@gmail.com,15935412382,30,Associate,https://cvstorage.com/cody_peterson.pdf,No,Indigenous,Yes,1033,https://linkedin.com/in/codypeterson
WPAHV,Roberto,Romero,1994-10-30,Non-binary,roberto.romero@gmail.com,15574974002,0,High School,https://cvstorage.com/roberto_romero.pdf,Yes,African American,No,,https://linkedin.com/in/robertoromero
QO9RH,Samantha,Johnson,2002-01-01,Female,samantha.johnson@gmail.com,15372545995,20,High School,https://cvstorage.com/samantha_johnson.pdf,Yes,Asian,Yes,1003,https://linkedin.com/in/samanthajohnson
DBLP4,Erin,Hensley,1980-12-02,Female,erin.hensley@gmail.com,17980475290,21,Master,https://cvstorage.com/erin_hensley.pdf,No,African American,No,1028,https://linkedin.com/in/erinhensley
3CNNU,Ian,Campbell,1979-08-13,Male,ian.campbell@gmail.com,17071655825,14,Bachelor,https://cvstorage.com/ian_campbell.pdf,Yes,Indigenous,No,,https://linkedin.com/in/iancampbell
SWXJE,Benjamin,Marquez,1974-01-18,Non-binary,benjamin.marquez@gmail.com,14376817905,22,Associate,https://cvstorage.com/benjamin_marquez.pdf,No,Hispanic,No,,https://linkedin.com/in/benjaminmarquez
W0GW4,Zachary,Briggs,2000-05-05,Male,zachary.briggs@gmail.com,16053128450,15,High School,https://cvstorage.com/zachary_briggs.pdf,No,Hispanic,Yes,1018,https://linkedin.com/in/zacharybriggs
6ISV4,Dana,Young,2001-05-06,Female,dana.young@gmail.com,19418789037,18,High School,https://cvstorage.com/dana_young.pdf,Yes,African American,No,,https://linkedin.com/in/danayoung
Z9YP3,Christina,Walls,1999-07-07,Female,christina.walls@gmail.com,13856013507,16,PhD,https://cvstorage.com/christina_walls.pdf,No,Mixed,No,,https://linkedin.com/in/christinawalls
WSXSD,Todd,Price,1989-05-08,Male,todd.price@gmail.com,19660658365,11,Bachelor,https://cvstorage.com/todd_price.pdf,Yes,Mixed,No,1007,https://linkedin.com/in/toddprice
N3TUK,Amanda,Davis,2003-05-19,Male,amanda.davis@gmail.com,16599515248,2,High School,https://cvstorage.com/amanda_davis.pdf,No,African American,Yes,1022,https://linkedin.com/in/amandadavis
Y12EA,Ronald,Horne,1978-09-10,Male,ronald.horne@gmail.com,17709394530,10,Bachelor,https://cvstorage.com/ronald_horne.pdf,Yes,Hispanic,Yes,,https://linkedin.com/in/ronaldhorne
KY42T,Kim,Carter,2000-02-03,Male,kim.carter@gmail.com,16313580874,2,Master,https://cvstorage.com/kim_carter.pdf,No,Caucasian,Yes,,https://linkedin.com/in/kimcarter
4H0TL,Shirley,Perez,1977-04-04,Female,shirley.perez@gmail.com,12318672643,29,PhD,https://cvstorage.com/shirley_perez.pdf,Yes,Indigenous,No,1039,https://linkedin.com/in/shirleyperez
082MF,Teresa,Knight,2002-02-07,Male,teresa.knight@gmail.com,13395060228,29,Bachelor,https://cvstorage.com/teresa_knight.pdf,Yes,Other,No,,https://linkedin.com/in/teresaknight
XYXCE,Brandi,Jones,2001-03-10,Non-binary,brandi.jones@gmail.com,16827024502,3,Master,https://cvstorage.com/brandi_jones.pdf,No,Other,Yes,1024,https://linkedin.com/in/brandijones
E88FY,Daniel,Harris,1998-12-17,Non-binary,daniel.harris@gmail.com,15937751539,8,Master,https://cvstorage.com/daniel_harris.pdf,Yes,Hispanic,No,,https://linkedin.com/in/danielharris
EXXS5,Wyatt,Chambers,1996-06-06,Female,wyatt.chambers@gmail.com,14047532084,13,Bachelor,https://cvstorage.com/wyatt_chambers.pdf,No,Other,No,,https://linkedin.com/in/wyattchambers
QFYSL,Hannah,Fisher,1987-03-13,Non-binary,hannah.fisher@gmail.com,16638790293,8,High School,https://cvstorage.com/hannah_fisher.pdf,No,Caucasian,Yes,,https://linkedin.com/in/hannahfisher
TJD5Q,Erika,Chambers,1970-03-14,Male,erika.chambers@gmail.com,16678103986,23,PhD,https://cvstorage.com/erika_chambers.pdf,Yes,African American,No,,https://linkedin.com/in/erikachambers
TLDRL,Gregory,Rose,1999-03-15,Non-binary,gregory.rose@gmail.com,19263000381,26,Associate,https://cvstorage.com/gregory_rose.pdf,No,Caucasian,No,,https://linkedin.com/in/gregoryrose
RHGXW,Wendy,Potter,2001-03-16,Female,wendy.potter@gmail.com,19457068700,3,Associate,https://cvstorage.com/wendy_potter.pdf,No,Hispanic,No,1037,https://linkedin.com/in/wendypotter
T52YS,Michael,Knight,1975-07-06,Male,michael.knight@gmail.com,15482046661,21,Bachelor,https://cvstorage.com/michael_knight.pdf,No,Mixed,Yes,,https://linkedin.com/in/michaelknight
